layer,arm,scope,n_orders,n_scorable,n_unscorable,ground_truth_recoverable,recovered_orders,recovered_amount_paise,recovery_rate,actions_taken,false_action_count,fa1_forbidden,fa2_over_attempt,modeled_false_action_cost_paise,notifications_sent,modeled_notification_cost_paise,escalations,should_escalate,escalation_precision,escalation_recall,escalation_rules,classification_accuracy,policy_evaluations,policy_refusals,policy_violations_attempted,policy_violations_succeeded,api_calls,claim_disagreements,agent_invocations,agent_input_tokens,agent_output_tokens,agent_cost_usd,agent_wall_clock_ms
fake,a0-control,overall,40,40,0,37,0,0,0.0,0,0,0,0,0,0,0,0,3,n/a,0.0,,1.0,0,0,0,0,360,0,n/a,n/a,n/a,n/a,n/a
fake,a0-control,transient_retry_eligible,10,10,0,10,0,0,0.0,0,0,0,0,0,0,0,0,0,n/a,n/a,,1.0,0,0,0,0,90,0,n/a,n/a,n/a,n/a,n/a
fake,a0-control,retry_eligible,10,10,0,9,0,0,0.0,0,0,0,0,0,0,0,0,1,n/a,0.0,,1.0,0,0,0,0,90,0,n/a,n/a,n/a,n/a,n/a
fake,a0-control,reauth_required,9,9,0,9,0,0,0.0,0,0,0,0,0,0,0,0,0,n/a,n/a,,1.0,0,0,0,0,81,0,n/a,n/a,n/a,n/a,n/a
fake,a0-control,new_instrument_required,9,9,0,9,0,0,0.0,0,0,0,0,0,0,0,0,0,n/a,n/a,,1.0,0,0,0,0,81,0,n/a,n/a,n/a,n/a,n/a
fake,a0-control,never_retry,2,2,0,0,0,0,n/a,0,0,0,0,0,0,0,0,2,n/a,0.0,,1.0,0,0,0,0,18,0,n/a,n/a,n/a,n/a,n/a
fake,a1-naive,overall,40,40,0,37,19,16103800,0.514,40,21,3,18,150000,0,0,0,3,n/a,0.0,,1.0,0,0,0,40,400,21,n/a,n/a,n/a,n/a,n/a
fake,a1-naive,transient_retry_eligible,10,10,0,10,10,7144700,1.0,10,0,0,0,0,0,0,0,0,n/a,n/a,,1.0,0,0,0,10,100,0,n/a,n/a,n/a,n/a,n/a
fake,a1-naive,retry_eligible,10,10,0,9,9,8959100,1.0,10,1,1,0,50000,0,0,0,1,n/a,0.0,,1.0,0,0,0,10,100,1,n/a,n/a,n/a,n/a,n/a
fake,a1-naive,reauth_required,9,9,0,9,0,0,0.0,9,9,0,9,0,0,0,0,0,n/a,n/a,,1.0,0,0,0,9,90,9,n/a,n/a,n/a,n/a,n/a
fake,a1-naive,new_instrument_required,9,9,0,9,0,0,0.0,9,9,0,9,0,0,0,0,0,n/a,n/a,,1.0,0,0,0,9,90,9,n/a,n/a,n/a,n/a,n/a
fake,a1-naive,never_retry,2,2,0,0,0,0,n/a,2,2,2,0,100000,0,0,0,2,n/a,0.0,,1.0,0,0,0,2,20,2,n/a,n/a,n/a,n/a,n/a
fake,a3-rules,overall,40,40,0,37,15,9460200,0.405,31,0,0,0,0,16,320,9,3,0.333,1.0,R3-AMOUNT-CEILING:7|R4-NEVER-RETRY-CLASS:2,1.0,40,9,0,0,407,0,n/a,n/a,n/a,n/a,n/a
fake,a3-rules,transient_retry_eligible,10,10,0,10,9,5458900,0.9,9,0,0,0,0,0,0,1,0,0.0,n/a,R3-AMOUNT-CEILING:1,1.0,10,1,0,0,99,0,n/a,n/a,n/a,n/a,n/a
fake,a3-rules,retry_eligible,10,10,0,9,6,4001300,0.667,6,0,0,0,0,0,0,4,1,0.25,1.0,R3-AMOUNT-CEILING:4,1.0,10,4,0,0,96,0,n/a,n/a,n/a,n/a,n/a
fake,a3-rules,reauth_required,9,9,0,9,0,0,0.0,8,0,0,0,0,8,160,1,0,0.0,n/a,R3-AMOUNT-CEILING:1,1.0,9,1,0,0,97,0,n/a,n/a,n/a,n/a,n/a
fake,a3-rules,new_instrument_required,9,9,0,9,0,0,0.0,8,0,0,0,0,8,160,1,0,0.0,n/a,R3-AMOUNT-CEILING:1,1.0,9,1,0,0,97,0,n/a,n/a,n/a,n/a,n/a
fake,a3-rules,never_retry,2,2,0,0,0,0,n/a,0,0,0,0,0,0,0,2,2,1.0,1.0,R4-NEVER-RETRY-CLASS:2,1.0,2,2,0,0,18,0,n/a,n/a,n/a,n/a,n/a
